id,uuid,URL,Title,PRICE,CODE NUMBER,LOCATION,PROPERTY TYPE,TYPE,Description,Area of Land,Construction Area,Rooms,Full Bathrooms,Half Bathrooms,Parking Lot,Image URLs,Created Date,Uploaded Date
1,5273469c-c94a-41dc-b166-ef3c27803050,https://remax-central.com.sv/en/properties/land-for-sale-in-excellent-area-of-costa-del-sol-for-development-1,Land for Sale in Excellent Area of ​Costa del Sol for Development,4900000,V15-003865,Costa Del Sol,Terrain,Sale,"Land for sale in one of the best areas of Costa del Sol Boulevard, with an amazing beachfront and the estuary. Ideal for a residential development, since it has on the sea side with 171 meters of frontage on one of the most spectacular beaches in El Salvador, and on the estuary side where you can enjoy all types of water sports, and tranquility and majesty of the mangrove landscapes of the Estero de Jaltepeque.FacebookTwitterEnviarPrintWhatsapp",112000,,,,,,"['https://remax-central.com.sv/storage/properties/NwrDcoFBqj7X3uJUihCL-large.png', 'https://remax-central.com.sv/storage/properties/sz4xb6ARwY31DCi1Acqc-large.png', 'https://remax-central.com.sv/storage/properties/0z3IzSmroeEfGOsawWgw-large.png', 'https://remax-central.com.sv/storage/properties/3fzUzcA9yjImb4OTV6GM-large.png', 'https://remax-central.com.sv/storage/properties/667Apbdci107CujS8cS3-large.png', 'https://remax-central.com.sv/storage/properties/oK0jUANyg4wviJHaoATC-large.png', 'https://remax-central.com.sv/storage/properties/DoTjRSrFqRghKXNJsFxR-large.png', 'https://remax-central.com.sv/storage/properties/BSFXgXgXHHGTfMf6pZIQ-large.png', 'https://remax-central.com.sv/storage/properties/1wi1tG8DzuLL7yJQ16A6-large.png', 'https://remax-central.com.sv/storage/properties/24OPim5MfzXDuGYPv5rC-large.png']",2024-10-26 17:22:27,2024-10-26 17:22:27
2,b34cd729-1300-4202-8e1f-73dd42398231,https://remax-central.com.sv/en/properties/oasis-residence-model-a---3-rooms-barra-de-santiago-el-salvador,"OASIS RESIDENCE ""MODEL A - 3 rooms"" BARRA DE SANTIAGO EL SALVADOR",495703,V20-003725,Barra De Santiago,Recreational,Sale,"OASIS will be an experience luxury and comfort in homes designed with a unique style that fuses modern and avant-garde architecture. 
With a private access portal, enjoying spacious interior spaces with natural ventilation, terrace, swimming pool and direct access to the beach.

The MODEL A house
It has 2 levels.
First floor:
- Living room 
- Dining room 
- Kitchen 
- Laundry 
- Service room 
- Service bathroom 
- Storage room 
- Pantry 
- Bedroom 1 
-. Bathroom bedroom 1 
-. Swimming pool

Upstairs:
-  Bedroom 2 
- Bathroom bedroom 2 
- Bedroom 3 
- Bathroom bedroom 3 
- Hallway

The amenities of the project are beach decks, fire pit, relax lounge, hammocks, tropical trails, among others.

Reference images, price from $495,703, according to availability at the moment of interest.

Reservation $5000
Premium payment 30%, starting May 28, 2024.FacebookTwitterEnviarPrintWhatsapp",541.49,266,3,,,,"['https://remax-central.com.sv/storage/properties/NgaDGqa2yU0OCWBUkCb9-large.png', 'https://remax-central.com.sv/storage/properties/tD2qCYUAg6kW06tUvpb1-large.png', 'https://remax-central.com.sv/storage/properties/CuR9i2m9zNZLxaOqBVDp-large.png', 'https://remax-central.com.sv/storage/properties/WuGpZGyZuSbvoF0ezAWt-large.png', 'https://remax-central.com.sv/storage/properties/sevfHQV8RVvfn42Uil2x-large.png', 'https://remax-central.com.sv/storage/properties/RXNwzHMcR9Muq3aUcfS5-large.png', 'https://remax-central.com.sv/storage/properties/XF0oCc1bcjJ5FhUfJMAi-large.png']",2024-10-26 17:22:32,2024-10-26 17:22:32
3,443d8a60-b98b-4940-b76c-9377ec97bbfe,https://remax-central.com.sv/en/properties/oasis-residence-model-b---4-rooms-barra-de-santiago-el-salvador,"OASIS RESIDENCE ""MODEL B - 4 rooms"" BARRA DE SANTIAGO EL SALVADOR",554128,V20-003726,Barra De Santiago,Recreational,Sale,"OASIS will be an experience luxury and comfort in homes designed with a unique style that fuses modern and avant-garde architecture. 
With a private access portal, enjoying spacious interior spaces with natural ventilation, terrace, swimming pool and direct access to the beach.

The MODEL B house
It has 2 levels.
First floor:
- Living room 
- Dining room 
- Kitchen 
- Laundry room 
- Maid's room 
- Service bathroom
- Cellar 
- Pantry 
- Bedroom 1 
- Bathroom bedroom 1 
- Guest bathroom 
- Swimming pool

Upstairs:
- Bedroom 2 
- Bathroom bedroom 2 
- Bedroom 3 
- Bathroom bedroom 3 
 -Bedroom 4 
- Bathroom bedroom 4 
- Balcony bedroom 4

The amenities of the project are beach decks, fire pit, relax lounge, hammocks, tropical trails, among others.

Reference images, price from $554,128, depending on availability at the time of interest.

Reservation $5000
Premium payment 30%, starting May 28, 2024.FacebookTwitterEnviarPrintWhatsapp",541.49,309,4,,,,"['https://remax-central.com.sv/storage/properties/tD2qCYUAg6kW06tUvpb1-large.png', 'https://remax-central.com.sv/storage/properties/CuR9i2m9zNZLxaOqBVDp-large.png', 'https://remax-central.com.sv/storage/properties/FEKPY3wbWk5u2pTAF31C-large.png', 'https://remax-central.com.sv/storage/properties/0R28yAONaAjONcN4jp93-large.png', 'https://remax-central.com.sv/storage/properties/z8Ccd3mRbha4SqwXm21N-large.png', 'https://remax-central.com.sv/storage/properties/T8DuAMS1KYyQnJqzDRlt-large.png', 'https://remax-central.com.sv/storage/properties/NgaDGqa2yU0OCWBUkCb9-large.png']",2024-10-26 17:22:38,2024-10-26 17:22:38
4,0d572bda-f650-42a7-92c7-6a2713638bc3,https://remax-central.com.sv/en/properties/commercial-premise-be1b-millennium-plaza-1/a,MILLENNIUM TOWER OFFICE SPACE,,A07-003178,Colonia Escalón,Commercial,Rent,"210mt2 office space, in the most modern corporate tower in San Salvador, located in the financial district of the city. The space is ready to equip and start operations immediately. Torre Millennium meets the highest construction standards, security systems, has smart elevators, and elegant finishes. The tower is part of the Millennium Plaza mixed-use project, which in its first stage has a twenty-five-story corporate tower, three retail levels, including a food hall with casual restaurants, a central plaza surrounded by shops and restaurants, a gym, 2 rooms for academic and corporate sessions, spaces for events, and the innovative office concept Alveare Coworking and Alveare Offices Plus. It has six levels of underground parking and is also connected by a glass walkway to the Galerías Shopping Center.FacebookTwitterEnviarPrintWhatsapp",v2,210,,,,,"['https://remax-central.com.sv/storage/properties/zJx9iFNlJpM7tLGXgNSv-large.png', 'https://remax-central.com.sv/storage/properties/hu1DQuZpQFwfYuwdao9r-large.png']",2024-10-26 17:22:40,2024-10-26 17:22:40
5,431c011e-a9ed-4626-b8c7-ed5d2c8519d0,https://remax-central.com.sv/en/properties/millennium-tower-office-space/a,MILLENNIUM TOWER OFFICE SPACE,,A07-003179,Colonia Escalón,Commercial,Rent,"120 mt2 office space, in the most modern corporate tower in San Salvador, located in the financial district of the city. The space is ready to equip and start operations immediately. Torre Millennium meets the highest construction standards, security systems, has smart elevators, and elegant finishes. The tower is part of the Millennium Plaza mixed-use project, which in its first stage has a twenty-five-story corporate tower, three retail levels, including a food hall with casual restaurants, a central plaza surrounded by shops and restaurants, a gym, 2 rooms for academic and corporate sessions, spaces for events, and the innovative office concept Alveare Coworking and Alveare Offices Plus. It has six levels of underground parking and is also connected by a glass walkway to the Galerías Shopping Center.FacebookTwitterEnviarPrintWhatsapp",v2,120,,,,,"['https://remax-central.com.sv/storage/properties/OKL4AbsuAFA4I5w1w3x0-large.png', 'https://remax-central.com.sv/storage/properties/LnBnRT5OXAjFPZ4U9PAu-large.png', 'https://remax-central.com.sv/storage/properties/rZNAwmPaJJnuZ8W9wo4o-large.png']",2024-10-26 17:22:43,2024-10-26 17:22:43
6,14125e44-e20e-40d0-b913-b723abf86561,https://remax-central.com.sv/en/properties/alveare-coworking-office-space-level-4/a,OFFICE SPACE ALVEARE OFFICES PLUS LEVEL 21,,A07-003182,Colonia Escalón,Commercial,Rent,"Private office within the modern and elegant coworking concept ALVEARE OFFICES PLUS, on level 21 of Torre Millennium. In addition to having the most stunning views of the city, the space has privacy, but also spaces for common use, kitchenettes, and telephone booths. There are meeting rooms for rent from 10 to 20 people, and additionally mail and package reception and printing services. ALVEARE is part of the Millennium Plaza mixed-use project, which in its first stage has a twenty-five-story corporate tower, three retail levels, including a food hall with casual restaurants, a central plaza surrounded by shops and restaurants, a gym, 2 rooms for training, spaces for events, and Alveare Offices Plus. It has six levels of underground parking and is also connected by a glass walkway to the Galerías Shopping Center.FacebookTwitterEnviarPrintWhatsapp",v2,169,,,,,"['https://remax-central.com.sv/storage/properties/5HRiQZsFBwPajvWMhVQh-large.png', 'https://remax-central.com.sv/storage/properties/AwPm4aO6w00yjZYcQtAH-large.png', 'https://remax-central.com.sv/storage/properties/PCHVn1ed98BAOlg8bwvW-large.png', 'https://remax-central.com.sv/storage/properties/RvnccdDgjsRmv9KDDzXb-large.png']",2024-10-26 17:22:48,2024-10-26 17:22:48
7,3a3ba7ee-ee4f-4a84-bb68-2b47ed8ecd19,https://remax-central.com.sv/en/properties/millennium-tower-office-space-4/a,MILLENNIUM TOWER OFFICE SPACE,,A07-003185,Colonia Escalón,Commercial,Rent,"Millennium Plaza, the most important mixed-use project in the country, has a privileged location: the financial district of San Salvador, and has been designed, built and equipped with the highest standards. The offices, in addition to having the most stunning views of the city, offer safe, elegant and practical spaces. The gray work option allows companies to design and adapt according to their taste and needs; integrating into the tower´s modern systems. One of the great advantages consists of the option to rent meeting rooms in the ALVEARE coworking concepts on levels 4 and 21, training rooms on level 2, and a variety of event spaces within the property. Millennium Plaza, which in its first stage has a twenty-five-story corporate tower, three retail levels, including a food hall with casual restaurants, a central plaza surrounded by shops and restaurants, a gym, 2 training rooms, spaces for events, Alveare Offices Plus and Skydeck Millennium. It has six levels of underground parking and is also connected by a glass walkway to the Galerías Shopping Center.FacebookTwitterEnviarPrintWhatsapp",v2,125,,,,,['https://remax-central.com.sv/storage/properties/Y8YW73xMQYsH2WS7oeUp-large.png'],2024-10-26 17:22:53,2024-10-26 17:22:53
8,9b1a4fa4-eb4e-4412-a8f5-c068cddfa837,https://remax-central.com.sv/en/properties/millennium-tower-office-space-5/a,MILLENNIUM TOWER OFFICE SPACE,,A07-003186,Colonia Escalón,Commercial,Rent,"Millennium Plaza, the most important mixed-use project in the country, has a privileged location, being located in the financial district of San Salvador, and has been designed, built and equipped with the highest standards. The offices, in addition to having the most spectacular views of the city, offer safe, elegant and practical spaces. The gray work option allows companies to design and adapt according to their taste and needs; integrating into modern tower systems. This particular space provides 360 views of the city, and the opportunity to create open, private and collaborative spaces. One of the great advantages consists of the option to rent meeting rooms in the ALVEARE coworking concepts on levels 4 and 21, training rooms on level 2, and a variety of event spaces within the property. Millennium Plaza, which in its first stage has a twenty-five-story corporate tower, three retail levels, including a food hall with casual restaurants, a central plaza surrounded by shops and restaurants, a gym, 2 training rooms, spaces for events, Alveare Offices Plus and Skydeck Millennium. It has six levels of underground parking and is also connected by a glass walkway to the Galerías Shopping Center.FacebookTwitterEnviarPrintWhatsapp",v2,125,,,,,"['https://remax-central.com.sv/storage/properties/Yby2QMFyyDsDua96CbLO-large.png', 'https://remax-central.com.sv/storage/properties/PEHVGwRB4Gje6NkRe9em-large.png', 'https://remax-central.com.sv/storage/properties/mwcLK788xuoJ1oCE6X0D-large.png']",2024-10-26 17:22:57,2024-10-26 17:22:57
9,32d387ec-6772-40a9-a913-57ed16e25c5b,https://remax-central.com.sv/en/properties/millennium-tower-office-space-3/a,MILLENNIUM TOWER OFFICE SPACE,,A07-003184,Colonia Escalón,Commercial,Rent,"125 mt2 office space, in the most modern corporate tower in San Salvador, located in the financial district of the city. The space is ready to equip and start operations immediately. Torre Millennium meets the highest construction standards, security systems, has smart elevators, and elegant finishes. The tower is part of the Millennium Plaza mixed-use project, which in its first stage has a twenty-five-story corporate tower, three retail levels, including a food hall with casual restaurants, a central plaza surrounded by shops and restaurants, a gym, 2 rooms for academic and corporate sessions, spaces for events, and the innovative office concept Alveare Coworking and Alveare Offices Plus. It has six levels of underground parking and is also connected by a glass walkway to the Galerías Shopping Center.FacebookTwitterEnviarPrintWhatsapp",v2,125,,,,,"['https://remax-central.com.sv/storage/properties/gNu2kAqkZVgcE8xe4rrC-large.png', 'https://remax-central.com.sv/storage/properties/equp48VlnDuq07K2gpzS-large.png', 'https://remax-central.com.sv/storage/properties/27sztjz1rvFoh7NS0qzw-large.png']",2024-10-26 17:23:00,2024-10-26 17:23:00
10,afa18236-f5cf-4141-804f-f55e69ca2a20,https://remax-central.com.sv/en/properties/house-cumbres-de-cuscatlan-el-salvador,"HOUSE CUMBRES DE CUSCATLAN, EL SALVADOR",598000,V01-003211,Cumbres De Cuscatlán,Residential,Sale,"Beautiful and cozy house built on two levels in the Cumbres de Cuscatlán Urbanization, near green areas that become the lungs of the residential area, creating a cool climate all year round.
On the first level it has an entrance hall, living room, dining room, study or guest room, guest bathroom, large and beautiful terrace overlooking a beautiful garden and a fountain; large kitchen with new furniture and a pantry, complete service area, covered garage for 2 vehicles, five cellars, large garden.
Second level: four bedrooms with bathroom, the main room has a Jacuzzi, 2 living rooms, one of them with a terrace with a spectacular viewFacebookTwitterEnviarPrintWhatsapp",965.78,480,4,4,1,3,"['https://remax-central.com.sv/storage/properties/aS6STwH53lUC8BOrbxfV-large.png', 'https://remax-central.com.sv/storage/properties/qULvv5cPaBlxsnqzKZVw-large.png', 'https://remax-central.com.sv/storage/properties/wEsylYYOhu9dJ42iHWiB-large.png', 'https://remax-central.com.sv/storage/properties/fmlcKpr6x4LChheKdqrf-large.png', 'https://remax-central.com.sv/storage/properties/vLt3OjSkwHUGZFeZVkwE-large.png', 'https://remax-central.com.sv/storage/properties/3nXUUmYEhhNC1H6jAEWt-large.png', 'https://remax-central.com.sv/storage/properties/fRWoS8oaOx1MLNI4SMPY-large.png', 'https://remax-central.com.sv/storage/properties/DTWOSEgcJEXBCiSllXue-large.png', 'https://remax-central.com.sv/storage/properties/VJ9xxWn2Ad2cMqWzioid-large.png', 'https://remax-central.com.sv/storage/properties/u87YNkDTzrNp1gaovu38-large.png']",2024-10-26 17:23:07,2024-10-26 17:23:07
